,ts_code,name,industry
553,002061.SZ,浙江交科,建筑工程
554,002062.SZ,宏润建设,建筑工程
555,002063.SZ,远光软件,软件服务
556,002064.SZ,华峰化学,化纤
557,002065.SZ,东华软件,软件服务
558,002066.SZ,瑞泰科技,其他建材
559,002067.SZ,景兴纸业,造纸
560,002068.SZ,黑猫股份,化工原料
561,002069.SZ,獐子岛,渔业
562,002072.SZ,凯瑞德,商贸代理
563,002073.SZ,软控股份,专用机械
564,002074.SZ,国轩高科,电气设备
565,002075.SZ,沙钢股份,特种钢
566,002076.SZ,星光股份,家用电器
567,002077.SZ,大港股份,半导体
568,002078.SZ,太阳纸业,造纸
569,002079.SZ,苏州固锝,半导体
570,002080.SZ,中材科技,玻璃
571,002081.SZ,金螳螂,装修装饰
572,002082.SZ,万邦德,中成药
573,002083.SZ,孚日股份,纺织
574,002084.SZ,海鸥住工,家居用品
575,002085.SZ,万丰奥威,汽车配件
576,002088.SZ,鲁阳节能,矿物制品
577,002090.SZ,金智科技,软件服务
578,002091.SZ,江苏国泰,商贸代理
579,002092.SZ,中泰化学,化工原料
580,002093.SZ,国脉科技,通信设备
581,002094.SZ,青岛金王,日用化工
582,002095.SZ,生意宝,互联网
583,002096.SZ,易普力,化工原料
584,002097.SZ,山河智能,工程机械
585,002098.SZ,浔兴股份,服饰
586,002099.SZ,海翔药业,化学制药
587,002100.SZ,天康生物,饲料
588,002101.SZ,广东鸿图,汽车配件
589,002102.SZ,冠福股份,化学制药
590,002103.SZ,广博股份,文教休闲
591,002104.SZ,恒宝股份,通信设备
592,002105.SZ,信隆健康,摩托车
593,002106.SZ,莱宝高科,元器件
594,002107.SZ,沃华医药,中成药
595,002108.SZ,沧州明珠,塑料
596,002109.SZ,兴化股份,化工原料
597,002110.SZ,三钢闽光,普钢
598,002111.SZ,威海广泰,航空
599,002112.SZ,三变科技,电气设备
600,002114.SZ,罗平锌电,铅锌
601,002115.SZ,三维通信,互联网
602,002116.SZ,中国海诚,建筑工程
603,002117.SZ,东港股份,广告包装
604,002119.SZ,康强电子,半导体
605,002120.SZ,韵达股份,仓储物流
606,002121.SZ,科陆电子,电器仪表
607,002122.SZ,汇洲智能,机械基件
608,002123.SZ,梦网科技,互联网
609,002124.SZ,天邦食品,农业综合
610,002125.SZ,湘潭电化,化工原料
611,002126.SZ,银轮股份,汽车配件
612,002127.SZ,南极电商,互联网
613,002128.SZ,电投能源,铝
614,002129.SZ,TCL中环,电气设备
615,002130.SZ,沃尔核材,电气设备
616,002131.SZ,利欧股份,互联网
617,002132.SZ,恒星科技,钢加工
618,002133.SZ,广宇集团,全国地产
619,002134.SZ,天津普林,元器件
620,002135.SZ,东南网架,钢加工
621,002136.SZ,安纳达,化工原料
622,002137.SZ,实益达,元器件
623,002138.SZ,顺络电子,元器件
624,002139.SZ,拓邦股份,元器件
625,002140.SZ,东华科技,建筑工程
626,002141.SZ,贤丰控股,农业综合
627,002142.SZ,宁波银行,银行
628,002144.SZ,宏达高科,纺织
629,002145.SZ,中核钛白,化工原料
630,002146.SZ,荣盛发展,全国地产
631,002148.SZ,北纬科技,互联网
632,002149.SZ,西部材料,小金属
633,002150.SZ,通润装备,机械基件
634,002151.SZ,北斗星通,通信设备
635,002152.SZ,广电运通,IT设备
636,002153.SZ,石基信息,软件服务
637,002154.SZ,报喜鸟,服饰
638,002155.SZ,湖南黄金,黄金
639,002156.SZ,通富微电,半导体
640,002158.SZ,汉钟精机,工程机械
641,002159.SZ,三特索道,旅游服务
642,002160.SZ,常铝股份,铝
643,002161.SZ,远望谷,通信设备
644,002162.SZ,悦心健康,陶瓷
645,002163.SZ,海南发展,装修装饰
646,002164.SZ,宁波东力,机械基件
647,002165.SZ,红宝丽,化工原料
648,002166.SZ,莱茵生物,中成药
649,002167.SZ,东方锆业,小金属
650,002168.SZ,惠程科技,互联网
651,002169.SZ,智光电气,电气设备
652,002170.SZ,芭田股份,农药化肥
653,002171.SZ,楚江新材,铜
654,002172.SZ,澳洋健康,医疗保健
655,002173.SZ,创新医疗,医疗保健
656,002174.SZ,游族网络,互联网
657,002175.SZ,东方智造,电器仪表
658,002176.SZ,江特电机,小金属
659,002177.SZ,御银股份,其他商业
660,002178.SZ,延华智能,软件服务
661,002179.SZ,中航光电,元器件
662,002180.SZ,纳思达,IT设备
663,002181.SZ,粤传媒,出版业
664,002182.SZ,宝武镁业,小金属
665,002183.SZ,怡亚通,仓储物流
666,002184.SZ,海得控制,软件服务
667,002185.SZ,华天科技,半导体
668,002186.SZ,全聚德,酒店餐饮
669,002187.SZ,广百股份,百货
670,002188.SZ,中天服务,房产服务
671,002189.SZ,中光学,元器件
672,002190.SZ,成飞集成,汽车配件
673,002191.SZ,劲嘉股份,广告包装
674,002192.SZ,融捷股份,小金属
675,002193.SZ,如意集团,纺织
676,002194.SZ,武汉凡谷,通信设备
677,002195.SZ,岩山科技,软件服务
678,002196.SZ,方正电机,纺织机械
679,002197.SZ,证通电子,IT设备
680,002198.SZ,嘉应制药,中成药
681,002199.SZ,东晶电子,元器件
682,002201.SZ,正威新材,玻璃
683,002202.SZ,金风科技,电气设备
684,002203.SZ,海亮股份,铜
685,002204.SZ,大连重工,专用机械
686,002205.SZ,国统股份,其他建材
687,002206.SZ,海利得,化纤
688,002207.SZ,准油股份,石油开采
689,002208.SZ,合肥城建,区域地产
690,002209.SZ,达意隆,轻工机械
691,002210.SZ,飞马国际,环境保护
692,002211.SZ,宏达新材,橡胶
693,002212.SZ,天融信,软件服务
694,002213.SZ,大为股份,半导体
695,002214.SZ,大立科技,电器仪表
696,002215.SZ,诺普信,农药化肥
697,002216.SZ,三全食品,食品
698,002217.SZ,合力泰,元器件
699,002218.SZ,拓日新能,电气设备
700,002219.SZ,新里程,医疗保健
701,002221.SZ,东华能源,石油贸易
702,002222.SZ,福晶科技,元器件
703,002223.SZ,鱼跃医疗,医疗保健
704,002224.SZ,三力士,橡胶
705,002225.SZ,濮耐股份,其他建材
706,002226.SZ,江南化工,化工原料
707,002227.SZ,奥特迅,电气设备
